minute_index,minute,attempts_per_min,required_pool_now,reactive_pool,predictive_pool,reactive_blocking,predictive_blocking,reactive_failures,predictive_failures,reactive_cumulative_failures,predictive_cumulative_failures,forecast_attempts_h15,forecast_attempts_h30
21,21,19.845703,30,26,26,0.171601,0.171601,3.405542,3.405542,149.286379,149.286379,24.446351,29.635012
22,22,20.215125,30,26,26,0.181686,0.181686,3.672806,3.672806,152.959184,152.959184,25.819622,31.778803
23,23,19.138802,29,26,26,0.152241,0.152241,2.913701,2.913701,155.872886,155.872886,24.337119,28.886463
24,24,19.483594,29,26,26,0.161686,0.161686,3.150231,3.150231,159.023116,159.023116,23.619859,27.403791
25,25,19.973558,30,26,26,0.175096,0.175096,3.497288,3.497288,162.520405,162.520405,23.679541,27.319038
26,26,19.994139,30,26,26,0.175658,0.175658,3.512132,3.512132,166.032537,166.032537,23.43743,26.71337
27,27,21.663816,32,26,26,0.22057,0.22057,4.778379,4.778379,170.810916,170.810916,25.812827,30.706517
28,28,21.003072,31,26,26,0.203,0.203,4.263625,4.263625,175.074542,175.074542,25.73199,30.320368
29,29,20.721757,31,26,26,0.195429,0.195429,4.049629,4.049629,179.124171,179.124171,24.815267,28.486683
30,30,20.826978,31,28,33,0.149574,0.05733,3.11517,1.194001,182.239341,180.318172,24.116483,27.080241
31,31,23.363861,34,28,33,0.213536,0.105766,4.989032,2.471097,187.228372,182.789269,27.696834,33.197667
32,32,23.448892,34,28,33,0.215629,0.107529,5.05625,2.521446,192.284622,185.310715,29.55232,36.169726
33,33,21.410467,32,28,33,0.164432,0.067555,3.520561,1.446384,195.805183,186.757099,26.69126,30.832
34,34,21.873523,32,28,33,0.176203,0.076122,3.854175,1.665053,199.659358,188.422152,25.366192,28.306095
35,35,20.451358,30,28,33,0.140032,0.051127,2.863837,1.045612,202.523195,189.467764,21.915032,22.119569
36,36,22.546493,33,28,33,0.193196,0.08917,4.355892,2.010471,206.879088,191.478235,23.310237,24.550951
37,37,22.334125,33,28,33,0.187853,0.084984,4.195531,1.89804,211.074619,193.376274,23.698523,25.168416
38,38,23.038584,33,28,33,0.205489,0.099079,4.734174,2.282631,215.808792,195.658906,24.992611,27.359575
39,39,22.372111,33,28,33,0.18881,0.085728,4.224081,1.917922,220.032874,197.576828,24.459369,26.308053
